Percentage,time,variance
100,10633.000000,839688.047268
90,10239.000000,859853.861427
80,9398.000000,699926.415098
70,8619.000000,551953.865463
60,7845.000000,652318.259778
50,7202.000000,325704.263005
40,5475.000000,625526.200156
30,4103.000000,325235.717127
20,3959.000000,269440.353778
10,3149.000000,53248.584366
