Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,142265,65,76883,57,142330,80688,50
90,130972,51,69136,45,131023,72927,0
80,120301,65,61649,53,120366,65451,0
70,109279,55,54010,49,109334,57806,1
60,97233,58,46404,48,97291,50209,0
50,83436,69,38896,59,83505,42683,0
40,67714,52,30562,43,67766,34342,0
30,50549,56,19455,37,50605,23221,0
20,35766,62,8773,42,35828,12478,0
10,23126,57,1551,28,23183,3491,0
