Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,61990,69,59875,63,62059,60591,1
90,56012,68,53808,58,56080,54533,0
80,49943,61,47814,56,50004,48505,0
70,43796,52,41305,30,43848,41972,0
60,37701,52,34469,31,37753,35158,0
50,31515,58,27125,48,31573,27819,0
40,25337,58,18661,46,25395,19328,0
30,19346,57,10677,44,19403,11326,0
20,13417,56,3696,47,13473,4160,0
10,7491,51,12,6,7542,46,0
