Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,47433,51,44346,36,47484,45750,0
90,42959,77,39111,70,43036,40547,0
80,38590,53,34212,48,38643,35624,0
70,34168,53,28656,41,34221,30069,0
60,29803,58,22030,51,29861,23434,0
50,25405,65,16055,50,25470,17446,0
40,21013,61,9255,50,21074,10645,0
30,16621,54,4528,41,16675,5751,0
20,12216,72,956,22,12288,1468,0
10,7753,54,10,2,7807,71,0
