Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,30574,70,3437,58,30644,3959,0
90,29434,79,2287,30,29513,2815,0
80,27248,59,1585,35,27307,1968,0
70,25245,41,734,31,25286,1166,0
60,23251,62,481,33,23313,862,2
50,21276,56,93,11,21332,297,0
40,19311,48,32,6,19359,73,0
30,17008,58,6,0,17066,12,0
20,13954,57,2,0,14011,15,0
10,9232,47,0,0,9279,0,0
