Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,5656,52,0,0,5708,0,0
90,5129,52,0,0,5181,0,0
80,4634,49,0,0,4683,0,0
70,4130,52,0,0,4182,0,0
60,3604,49,0,0,3653,0,0
50,3132,50,0,0,3182,0,0
40,2615,51,0,0,2666,0,0
30,2092,51,0,0,2143,0,0
20,1530,54,0,0,1584,0,0
10,1006,49,0,0,1055,0,0
