Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,6810,47,0,0,6857,0,0
90,6324,53,3,0,6377,5,0
80,5814,55,0,0,5869,0,0
70,5330,61,4,0,5391,3,0
60,4795,59,0,1,4854,1,0
50,4259,65,1,1,4324,2,0
40,3679,45,0,0,3724,0,0
30,3054,49,0,0,3103,0,0
20,2482,58,0,0,2540,0,0
10,1883,46,0,0,1929,0,0
