Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,140549,60,59805,57,140609,60193,1
90,132977,73,54244,69,133050,54648,0
80,125048,60,47858,55,125108,48243,0
70,116654,53,41195,44,116707,41565,0
60,107526,58,34274,59,107584,34643,0
50,97499,65,26332,62,97564,26736,0
40,86193,52,16566,51,86245,16918,0
30,72671,62,7779,65,72733,8086,0
20,55313,67,2770,38,55380,3002,0
10,32111,60,606,19,32171,689,0
