Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,200618,83,194758,78,200701,197716,4030
90,180043,60,175725,49,180103,178644,6986
80,160348,59,156479,48,160407,159407,71
70,140903,56,137288,42,140959,140164,74
60,121702,55,118307,47,121757,121227,158
50,102556,56,99062,48,102612,101964,12
40,83418,67,79722,56,83485,82658,1
30,64293,52,60244,44,64345,63162,0
20,45212,67,40230,58,45279,43136,0
10,26158,67,15128,55,26225,18003,8
