Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,14195,75,3359,62,14270,3731,0
90,12938,51,2321,42,12989,2643,0
80,11691,54,1275,41,11745,1528,0
70,10440,56,993,21,10496,1144,0
60,9203,45,427,18,9248,514,0
50,7951,60,138,24,8011,169,0
40,6704,51,8,2,6755,12,0
30,5457,53,15,0,5510,13,0
20,4203,41,0,0,4244,0,0
10,2940,46,0,0,2986,0,0
