Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,72346,66,39228,54,72412,41586,0
90,65833,62,34930,54,65895,37253,0
80,59916,45,29669,38,59961,31951,0
70,53477,63,24804,60,53540,27110,0
60,46538,60,18557,50,46598,20839,0
50,38768,69,12966,47,38837,15265,0
40,30547,64,6849,57,30611,9025,0
30,23455,59,3213,40,23514,5101,0
20,17793,55,697,35,17848,1498,0
10,12055,50,62,0,12105,240,0
