Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,7151,47,4,0,7198,4,0
90,6598,42,0,1,6640,1,0
80,6045,45,1,2,6090,7,0
70,5487,43,0,0,5530,0,0
60,4934,44,0,0,4978,0,0
50,4381,47,0,0,4428,0,0
40,3826,60,0,0,3886,0,0
30,3266,45,0,0,3311,0,0
20,2710,43,0,0,2753,0,0
10,2151,48,0,0,2199,0,0
