Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,4805,80,0,0,4885,0,0
90,4379,58,0,0,4437,0,0
80,3961,62,0,0,4023,0,0
70,3542,57,19,0,3599,19,0
60,3111,53,0,0,3164,0,0
50,2715,52,0,1,2767,0,0
40,2298,58,0,0,2356,0,0
30,1881,48,0,0,1929,0,0
20,1454,50,0,0,1504,0,0
10,1011,49,0,0,1060,0,0
