Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,30986,61,15643,51,31047,18004,1
90,27800,57,11900,43,27857,14247,0
80,24802,53,9368,38,24855,11700,0
70,22097,51,6668,37,22148,8917,0
60,19502,51,4264,38,19553,6288,0
50,17152,62,2720,41,17214,4065,0
40,14868,73,942,32,14941,2046,0
30,12535,57,412,9,12592,995,0
20,10262,50,40,4,10312,150,0
10,7967,49,1,0,8016,3,0
