Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,287728,52,285938,47,287780,287172,42135
90,259267,58,257508,49,259325,258768,1874
80,230825,54,229104,44,230879,230395,32896
70,202221,71,200660,62,202292,202001,4826
60,173737,64,172198,52,173801,173514,261
50,145211,69,143668,63,145280,144993,95
40,116685,52,115333,44,116737,116613,5
30,88187,57,86686,52,88244,87994,5
20,59739,67,58087,43,59806,59408,0
10,31366,68,26798,59,31434,28113,0
