Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,4509,54,0,0,4563,0,0
90,4102,62,2,0,4164,1,0
80,3685,51,0,0,3736,0,0
70,3270,46,0,0,3316,0,0
60,2850,49,0,0,2899,0,0
50,2435,55,0,0,2490,0,0
40,2016,51,0,1,2067,1,1
30,1592,55,0,0,1647,0,0
20,1169,48,0,0,1217,0,0
10,719,48,0,0,767,0,0
