Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,1547200,90,349960,76,1547290,351811,9314
90,1392329,75,314882,67,1392404,316757,13526
80,1238418,95,280088,86,1238513,281976,3181
70,1083636,53,245173,43,1083689,247029,3424
60,928964,58,210228,48,929022,212086,355
50,774523,60,175527,48,774583,177365,170
40,620875,56,140508,48,620931,142323,34
30,466834,57,105642,51,466891,107500,7
20,312012,78,70625,68,312090,72500,0
10,157948,49,32721,43,157997,34544,1
