Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,28976,68,18453,65,29044,18924,2
90,26261,58,13919,53,26319,14396,0
80,23555,65,9219,55,23620,9630,0
70,20827,46,5873,47,20873,6315,0
60,18114,56,3271,41,18170,3400,0
50,15389,53,1452,42,15442,1786,0
40,12667,53,444,9,12720,558,0
30,9924,48,37,0,9972,73,0
20,7113,47,4,0,7160,4,0
10,4192,45,0,0,4237,0,0
