Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,28432,63,21008,55,28495,21645,7
90,25837,62,18680,51,25899,19298,0
80,23218,75,15324,62,23293,15955,0
70,20464,72,11394,58,20536,12024,0
60,17358,63,8036,48,17421,8615,0
50,14509,61,4409,45,14570,4930,0
40,11835,57,2040,44,11892,2344,0
30,9241,54,599,16,9295,814,0
20,6645,53,23,4,6698,30,0
10,4061,53,0,0,4114,0,0
