Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,311554,85,301651,78,311639,310565,30095
90,282659,49,272869,40,282708,281715,9540
80,253832,63,243818,55,253895,252748,4991
70,224966,65,214906,53,225031,223793,4169
60,196117,61,185851,50,196178,194728,1904
50,167259,80,156798,57,167339,165683,19
40,138423,72,127515,65,138495,136426,24
30,109446,55,98252,47,109501,107141,1
20,80274,65,68141,56,80339,77022,2
10,50890,58,36560,51,50948,45449,0
