Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,85611,57,74452,51,85668,76230,32
90,78275,57,67084,39,78332,68843,2
80,70750,81,59725,71,70831,61506,2
70,63317,57,52280,51,63374,54057,0
60,55836,60,44521,48,55896,46291,3
50,48379,55,35338,41,48434,37086,0
40,40907,49,24700,43,40956,26443,0
30,33486,53,13884,41,33539,15602,0
20,26022,60,4427,40,26082,5656,0
10,18352,45,176,5,18397,627,0
