Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,14415,67,2845,23,14482,3181,0
90,13089,66,2397,49,13155,2594,0
80,11791,62,1126,43,11853,1348,0
70,10421,61,775,38,10482,929,0
60,9083,70,166,30,9153,263,0
50,7630,60,117,6,7690,150,0
40,6260,60,14,8,6320,65,0
30,4961,48,0,0,5009,0,0
20,3682,51,0,1,3733,1,1
10,2412,56,0,0,2468,0,0
