matrix,high_br_mispreds,nnz_speedup
shyy41,False,False
appu,True,True
bbmat,True,False
olafu,True,False
raefsky1,True,False
raefsky2,True,False
raefsky3,True,False
raefsky4,True,False
raefsky5,True,False
raefsky6,True,False
venkat01,True,False
venkat25,True,False
venkat50,True,False
utm1700b,False,True
utm3060,True,False
utm5940,True,False
av41092,True,False
swang1,False,True
swang2,True,False
wang3,True,False
wang4,True,False
Zhao1,True,False
Zhao2,True,False
hydr1,True,False
rdist1,True,False
rdist2,True,False
rdist3a,True,False
k3plates,True,False
qa8fk,True,False
qa8fm,True,False
bcsstk39,True,False
comsol,True,True
bodyy4,True,False
bodyy5,True,False
bodyy6,True,False
fv1,True,False
fv2,True,False
fv3,True,False
heart1,True,True
heart2,True,True
heart3,True,True
lung2,True,False
stomach,True,False
torso1,True,True
torso2,True,False
torso3,True,False
e40r0100,True,False
shermanACa,True,False
shermanACb,True,True
shermanACd,True,True
landmark,True,False
cage9,True,False
cage10,True,False
cage11,True,False
cage12,True,False
cage13,True,False
fd12,True,False
fd15,True,False
fd18,True,False
sinc12,True,False
sinc15,True,False
sinc18,True,False
Alemdar,True,False
Andrews,True,True
ns3Da,True,False
poisson3Da,True,True
poisson3Db,True,True
sme3Da,True,False
sme3Db,True,False
sme3Dc,True,True
cell1,True,False
cell2,True,False
nd3k,True,True
nd6k,True,True
nd12k,True,True
af_shell1,True,True
af_shell2,True,True
af_shell3,True,True
af_shell4,True,True
af_shell5,True,True
af_shell6,True,True
af_shell7,True,True
af_shell8,True,True
af_shell9,True,True
c-62,True,False
c-64,True,False
c-66,True,False
c-67,True,False
c-73,True,False
2D_27628_bjtcai,True,False
2D_54019_highK,True,False
3D_28984_Tetra,True,False
3D_51448_3D,True,False
ibm_matrix_2,True,False
matrix_9,True,False
matrix-new_3,True,False
barrier2-10,True,True
barrier2-11,True,True
barrier2-12,True,True
barrier2-1,True,False
barrier2-2,True,True
barrier2-3,True,True
barrier2-4,True,True
barrier2-9,True,True
igbt3,True,False
nmos3,True,False
ohne2,True,True
para-10,True,True
para-4,True,True
para-5,True,True
para-6,True,True
para-7,True,True
para-8,True,True
para-9,True,True
graphics,True,False
language,True,False
ecl32,True,False
mult_dcop_01,True,True
mult_dcop_02,True,True
mult_dcop_03,True,True
coupled,True,True
Pres_Poisson,True,False
rajat03,True,False
rajat13,True,False
Hamrle2,False,True
Hamrle3,True,False
gyro_k,True,False
gyro_m,True,True
t2dah_a,True,False
t2dah_e,True,False
t2dal_a,True,False
t3dh_a,True,False
t3dh_e,True,False
t3dl_a,True,False
t3dl_e,False,False
powersim,True,False
Lin,True,False
sts4098,True,True
aug2d,True,False
aug2dc,True,False
aug3d,True,False
aug3dcqp,True,False
bmw3_2,True,True
c-55,True,False
c-58,True,False
c-59,True,False
c-62ghs,True,False
c-63,True,False
c-68,True,False
c-69,True,False
c-70,True,False
c-71,True,False
c-72,True,False
copter2,True,False
d_pretok,True,False
darcy003,True,False
dawson5,True,False
dtoc,True,False
exdata_1,True,True
helm2d03,True,False
helm3d01,True,True
k1_san,True,False
mario001,True,False
mario002,True,False
ncvxqp1,True,False
ncvxqp9,True,False
olesnik0,True,False
sit100,True,False
stokes128,True,False
stokes64,True,False
stokes64s,True,False
tuma1,True,False
tuma2,True,False
turon_m,True,False
bmw7st_1,True,True
bmwcra_1,True,True
crankseg_1,True,True
crankseg_2,True,True
hood,True,True
m_t1,True,True
oilpan,True,False
s3dkq4m2,True,False
s3dkt3m2,True,False
ship_001,True,True
ship_003,True,True
shipsec1,True,True
shipsec5,True,True
shipsec8,True,True
thread,True,True
vanbody,True,False
wathen100,True,False
wathen120,True,False
x104,True,True
a0nsdsil,True,False
a2nnsnsl,True,False
a5esindl,True,False
blockqp1,True,False
bloweya,True,False
boyd1,True,True
boyd2,True,False
brainpc2,True,False
bratu3d,True,False
cont-201,True,False
cont-300,True,False
dixmaanl,True,False
linverse,True,False
ncvxbqp1,True,False
ncvxqp3,True,False
ncvxqp5,True,False
ncvxqp7,True,False
sparsine,True,False
spmsrtls,True,False
cvxbqp1,True,False
gridgena,True,False
jnlbrng1,True,False
minsurfo,True,False
obstclae,True,False
torsion1,True,False
rajat15,True,False
mri1,True,False
mri2,True,False
airfoil_2d,True,False
dc1,True,False
dc2,True,False
dc3,True,False
trans4,True,False
trans5,True,False
tomography,False,True
Kemelmacher,True,False
Kuu,True,False
Muu,True,False
deltaX,True,False
std1_Jac2_db,True,False
std1_Jac2,True,False
std1_Jac3_db,True,True
std1_Jac3,True,True
Zd_Jac2_db,True,False
Zd_Jac2,True,False
Zd_Jac3_db,True,True
Zd_Jac3,True,True
Zd_Jac6_db,True,True
Zd_Jac6,True,False
rajat16,True,False
rajat17,True,False
rajat18,True,False
bundle1,True,False
benzene,True,False
CO,True,True
Ga10As10H30,True,True
Ga19As19H42,True,True
Ga3As3H12,True,True
Ga41As41H72,True,True
GaAsH6,True,True
Ge87H76,True,True
Ge99H100,True,True
H2O,True,False
Na5,True,True
Si10H16,True,True
Si34H36,True,True
Si41Ge41H72,True,True
Si5H12,True,False
Si87H76,True,True
SiH4,True,True
SiNa,True,False
SiO2,True,True
SiO,True,False
rajat20,True,False
rajat21,True,False
rajat22,True,False
rajat23,True,False
rajat24,True,False
rajat25,True,False
rajat26,True,False
rajat27,True,False
rajat28,True,False
fp,True,True
rajat29,True,False
rajat30,True,False
laminar_duct3D,True,False
thermal1,True,False
thermal2,True,False
Kaufhold,True,True
ted_A,True,False
ted_B,True,False
ted_A_unscaled,True,False
ted_B_unscaled,True,False
G2_circuit,True,False
ckt11752_dc_1,True,False
ckt11752_tr_0,True,False
ASIC_100k,True,False
ASIC_100ks,True,True
ASIC_320k,True,False
ASIC_320ks,True,False
ASIC_680k,True,False
ASIC_680ks,True,False
G3_circuit,True,False
apache1,True,False
apache2,True,False
bloweybl,True,False
bloweybq,True,False
cvxqp3,True,False
qpband,True,False
chipcool0,True,True
chipcool1,True,False
filter3D,True,True
flowmeter0,True,False
flowmeter5,True,False
gas_sensor,True,False
gyro,True,False
inlet,True,False
LF10000,True,False
LFAT5000,True,False
piston,True,False
rail_20209,True,False
rail_5177,True,False
rail_79841,True,False
t2dah,True,False
