Percentage,Time_ns
100,36074377.000000
90,34247072.000000
80,32548256.000000
70,29732054.000000
60,27103848.000000
50,24058699.000000
40,20866619.000000
30,17182649.000000
20,12663084.000000
10,6547562.000000
