Percentage,Time_ns
100,34727078.000000
90,32647421.000000
80,30526083.000000
70,28400149.000000
60,25688769.000000
50,22920991.000000
40,19713278.000000
30,16098655.000000
20,11756430.000000
10,6213176.000000
