Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,10764,48,480,13,10812,751,0
90,9966,44,303,19,10010,456,0
80,9163,48,166,12,9211,311,0
70,8362,45,56,2,8407,99,0
60,7559,48,10,4,7607,37,0
50,6739,66,11,0,6805,14,0
40,5935,44,3,0,5979,9,0
30,5114,54,0,0,5168,1,0
20,4302,53,0,0,4355,0,0
10,3460,58,0,0,3518,1,0
