Percentage,Time_ns
100,35382171.000000
90,32809081.000000
80,29547033.000000
70,24339705.000000
60,21615337.000000
50,18436884.000000
40,14530569.000000
30,11138132.000000
20,9235403.000000
10,9252552.000000
