Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,19516,60,3778,34,19576,4155,0
90,17865,81,2258,44,17946,2597,0
80,16167,61,2087,36,16228,2240,0
70,14483,56,636,28,14539,842,0
60,12775,51,184,18,12826,228,0
50,11078,58,43,10,11136,67,1
40,9367,50,6,0,9417,6,0
30,7656,60,0,0,7716,0,0
20,5890,52,0,0,5942,0,0
10,3604,48,0,0,3652,0,0
