Percentage,Time_ns
100,5382801.000000
90,4835896.000000
80,4283712.000000
70,3699556.000000
60,3280740.000000
50,2524805.000000
40,1975671.000000
30,1463186.000000
20,1004053.000000
10,583628.000000
