Percentage,Time_ns
100,6960228.000000
90,6206520.000000
80,5496812.000000
70,4717086.000000
60,3987329.000000
50,3324241.000000
40,2617646.000000
30,1959970.000000
20,1289371.000000
10,643462.000000
