Percentage,Time_ns
100,8019489.000000
90,7404428.000000
80,6839173.000000
70,6234609.000000
60,5564065.000000
50,4863386.000000
40,4131024.000000
30,3324072.000000
20,2437677.000000
10,1354035.000000
