Percentage,Time_ns
100,7919514.000000
90,7087964.000000
80,6216067.000000
70,5364679.000000
60,4505000.000000
50,3655694.000000
40,2822154.000000
30,2065496.000000
20,1357232.000000
10,729221.000000
