Percentage,Time_ns
100,15588866.000000
90,14059528.000000
80,12645207.000000
70,11174276.000000
60,9748000.000000
50,8401432.000000
40,7205130.000000
30,5811446.000000
20,3323023.000000
10,1830663.000000
