Percentage,Time_ns
100,30204410.000000
90,28492627.000000
80,26913326.000000
70,24964581.000000
60,22819225.000000
50,20425343.000000
40,17823973.000000
30,14625873.000000
20,10647764.000000
10,5867383.000000
