Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,4796,51,0,0,4847,0,0
90,4293,49,0,0,4342,0,0
80,3840,48,0,0,3888,0,0
70,3402,51,0,0,3453,2,0
60,2955,48,0,0,3003,0,0
50,2525,48,0,0,2573,0,0
40,2081,44,0,0,2125,0,0
30,1654,43,0,0,1697,0,0
20,1194,53,0,0,1247,0,0
10,740,51,0,0,791,0,0
