Percentage,Time_ns
100,36796238.000000
90,34285174.000000
80,31773106.000000
70,29156748.000000
60,26504257.000000
50,23759097.000000
40,20804591.000000
30,17574073.000000
20,13789140.000000
10,8802919.000000
