Percentage,Time_ns
100,113655435.000000
90,101410445.000000
80,90351809.000000
70,79381348.000000
60,68017731.000000
50,57547801.000000
40,45727140.000000
30,33529391.000000
20,22615254.000000
10,11613194.000000
