Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,6545,52,55,0,6597,63,1
90,5928,49,11,2,5977,13,0
80,5308,52,2,1,5360,3,0
70,4694,53,3,1,4747,4,0
60,4075,58,0,0,4133,2,0
50,3462,60,0,0,3522,0,0
40,2846,47,0,0,2893,0,0
30,2226,58,0,0,2284,0,0
20,1606,50,0,0,1656,0,0
10,979,50,0,0,1029,0,0
