Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,78754,69,59621,63,78823,65466,10
90,70559,56,54258,47,70615,60079,1
80,62855,59,48314,50,62914,54157,0
70,55697,57,42379,54,55754,48166,0
60,49207,71,36431,60,49278,42254,0
50,43127,74,30028,67,43201,35861,5
40,37254,60,22597,50,37314,28416,0
30,31479,69,14439,59,31548,20243,0
20,25708,57,6590,40,25765,12024,0
10,19923,49,1789,32,19972,5394,0
