Percentage,Time_ns
100,11436941.000000
90,10115700.000000
80,8825746.000000
70,7530198.000000
60,6213437.000000
50,4887935.000000
40,3511963.000000
30,2215009.000000
20,1572732.000000
10,1579483.000000
