Percentage,time,variance
100,7501.000000,597064.890378
90,7242.000000,387864.861509
80,6876.000000,540719.893061
70,6178.000000,362634.781994
60,5700.000000,398151.503504
50,4969.000000,320003.372748
40,3696.000000,237166.358607
30,2924.000000,221990.506398
20,2662.000000,315485.048333
10,2456.000000,58287.465405
