Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,11075,47,1207,21,11122,1441,0
90,10047,46,987,15,10093,1172,0
80,9016,46,383,13,9062,476,0
70,7995,52,131,20,8047,200,0
60,6967,52,25,4,7019,62,0
50,5932,52,26,2,5984,35,0
40,4908,46,0,3,4954,2,0
30,3877,49,0,0,3926,1,0
20,2854,47,0,0,2901,0,0
10,1814,58,0,1,1872,1,1
