Percentage,Time_ns
100,34579745.000000
90,31546718.000000
80,28609676.000000
70,24630216.000000
60,22724932.000000
50,18486212.000000
40,16689474.000000
30,12618983.000000
20,10796428.000000
10,10787784.000000
