Percentage,Time_ns
100,21771374.000000
90,20054249.000000
80,18303447.000000
70,16514532.000000
60,13391799.000000
50,10790188.000000
40,8914769.000000
30,7358585.000000
20,5729963.000000
10,3634201.000000
