Percentage,Time_ns
100,7912507.000000
90,7062089.000000
80,6232221.000000
70,5435565.000000
60,4444104.000000
50,3794717.000000
40,2834506.000000
30,2101964.000000
20,1710621.000000
10,1701319.000000
