Percentage,Time_ns
100,21914160.000000
90,19335509.000000
80,17272800.000000
70,15656152.000000
60,12979511.000000
50,10911331.000000
40,8802946.000000
30,6731545.000000
20,5587483.000000
10,5583025.000000
