Percentage,Time_ns
100,19363250.000000
90,18119757.000000
80,17100845.000000
70,15883998.000000
60,14287600.000000
50,12832026.000000
40,11199325.000000
30,9286347.000000
20,7024642.000000
10,3951762.000000
