Percentage,Time_ns
100,157235977.000000
90,138009148.000000
80,123172167.000000
70,107319490.000000
60,92172892.000000
50,77061394.000000
40,61585700.000000
30,45359636.000000
20,30128527.000000
10,15442954.000000
