Percentage,Time_ns
100,6887422.000000
90,6299894.000000
80,5667939.000000
70,5043158.000000
60,4447228.000000
50,3835469.000000
40,3163193.000000
30,2469394.000000
20,1773263.000000
10,1036940.000000
