Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,23422,51,3354,42,23473,7855,0
90,22543,63,2197,26,22606,6799,0
80,21673,71,1680,44,21744,5696,0
70,20795,61,1545,29,20856,4675,0
60,19918,55,1097,43,19973,3649,0
50,19037,62,770,41,19099,3401,0
40,18159,53,457,30,18212,2499,0
30,17265,50,281,24,17315,1415,0
20,16253,53,151,32,16306,1183,0
10,13955,49,113,11,14004,920,0
