Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,110558,67,84868,67,110625,92979,62
90,98885,64,77436,51,98949,85575,1
80,88175,55,69903,49,88230,78018,0
70,78176,66,61842,56,78242,69959,1
60,69014,59,53856,49,69073,61983,19
50,60489,77,46277,71,60566,54412,8
40,52269,63,37615,54,52332,45737,1
30,44128,56,27958,51,44184,36032,0
20,36041,60,16836,48,36101,24963,0
10,27900,65,6075,51,27965,13775,0
