Percentage,Time_ns
100,7984331.000000
90,7230495.000000
80,5633495.000000
70,6103669.000000
60,4610701.000000
50,3518246.000000
40,2856834.000000
30,2291601.000000
20,1955374.000000
10,1951655.000000
