Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,113356,66,111903,59,113422,113181,841
90,102329,57,100903,50,102386,102178,50
80,91249,60,89796,53,91309,91078,11
70,80182,58,78623,47,80240,79919,0
60,69167,53,67505,42,69220,68769,1
50,58128,62,56261,50,58190,57565,0
40,47081,50,44987,41,47131,46287,3
30,36038,53,32187,45,36091,33455,1
20,25015,49,17610,38,25064,18880,0
10,14014,74,3179,57,14088,4249,0
