Percentage,Time_ns
100,22764351.000000
90,21128025.000000
80,19146763.000000
70,16928340.000000
60,14433569.000000
50,11948957.000000
40,9324204.000000
30,7029712.000000
20,5090455.000000
10,2493984.000000
