Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,49099,64,32726,56,49163,36235,1
90,44581,61,27703,53,44642,31221,0
80,39859,64,23419,53,39923,26938,0
70,35617,53,17324,47,35670,20834,0
60,31683,55,13138,57,31738,16587,0
50,27831,54,7513,46,27885,10836,0
40,24102,66,3830,36,24168,6789,1
30,20367,68,2181,37,20435,4304,0
20,16508,46,641,19,16554,2019,0
10,12575,51,35,1,12626,152,0
