Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,34468,60,30111,51,34528,30564,1
90,31178,54,26413,44,31232,26862,0
80,27863,94,21036,80,27957,21507,0
70,24540,63,15785,55,24603,16193,0
60,21213,57,11410,43,21270,11846,0
50,17893,63,7156,52,17956,7565,0
40,14552,55,3975,46,14607,4263,0
30,11178,60,985,32,11238,1096,1
20,7805,52,110,7,7857,137,0
10,4389,47,0,0,4436,0,0
