Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,24287,48,1003,20,24335,1776,0
90,22547,64,1506,33,22611,2416,0
80,20824,45,446,24,20869,967,0
70,19056,46,387,12,19102,682,0
60,17290,52,101,2,17342,248,0
50,15513,55,133,1,15568,277,0
40,13627,63,18,0,13690,36,0
30,11625,51,2,0,11676,14,0
20,9396,56,0,0,9452,0,0
10,6799,41,0,0,6840,0,0
