Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,32300,54,26423,49,32354,26947,3
90,29439,48,21430,43,29487,21935,0
80,26246,58,16870,44,26304,17367,2
70,23178,57,11836,52,23235,12328,0
60,20065,59,7334,47,20124,7755,0
50,16939,64,4777,51,17003,5163,0
40,13834,84,1774,68,13918,2115,0
30,10786,65,505,30,10851,627,0
20,7653,57,11,0,7710,12,0
10,4477,50,0,0,4527,0,0
