Percentage,Time_ns
100,7179075.000000
90,6623604.000000
80,6049831.000000
70,5516205.000000
60,4792859.000000
50,4239501.000000
40,3003270.000000
30,2454551.000000
20,1568929.000000
10,795232.000000
