Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,363517,71,338948,60,363588,346850,16769
90,337137,84,307789,82,337221,315704,6232
80,302013,64,275270,54,302077,283190,4936
70,267143,76,242556,69,267219,250479,7081
60,231374,59,209564,50,231433,217466,516
50,196471,74,176924,49,196545,184864,123
40,162296,57,143842,43,162353,151737,47
30,126814,64,110268,53,126878,118165,3
20,91507,89,76222,81,91596,84137,339
10,56039,44,40603,38,56083,48493,0
