Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,7880,52,14,0,7932,14,0
90,7107,50,7,0,7157,12,0
80,6325,52,2,0,6377,5,0
70,5560,59,0,0,5619,0,0
60,4775,61,0,0,4836,0,0
50,4012,50,0,0,4062,0,0
40,3224,51,0,0,3275,0,0
30,2439,57,0,0,2496,0,0
20,1663,49,0,0,1712,0,0
10,886,52,0,0,938,0,0
