Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,212026,68,113788,62,212094,119076,9
90,196370,66,103257,58,196436,108551,92
80,180722,74,91966,66,180796,97279,29
70,164505,65,81201,55,164570,86520,118
60,147168,64,69921,57,147232,75187,0
50,127651,58,58538,50,127709,63806,0
40,104916,81,47685,71,104997,52984,0
30,78340,62,35653,54,78402,40915,0
20,53970,69,21339,63,54039,26613,0
10,34369,56,6133,46,34425,10969,0
