Percentage,Time_ns
100,29612783.000000
90,26988393.000000
80,24462255.000000
70,21467664.000000
60,17091174.000000
50,13643321.000000
40,10163080.000000
30,7046215.000000
20,4526226.000000
10,2257633.000000
