Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,7405,48,0,0,7453,1,0
90,6677,48,0,0,6725,0,0
80,5951,54,0,0,6005,0,0
70,5222,47,0,0,5269,2,0
60,4513,57,0,0,4570,0,0
50,3791,49,0,0,3840,0,0
40,3081,47,0,0,3128,0,0
30,2351,49,0,0,2400,0,0
20,1613,51,0,0,1664,0,0
10,896,52,0,0,948,0,0
